content,score
"aplikasi crash ga bisa dibuka, tagihan sudah bayar.. ada apa ini?",1
"kenapa tiba2 jadi for close aplikasinya, tiap dibuka kluar2 sndri?",1
"eror Mulu. udh update, masuk gabisa keluar sendiri trs . parah",1
tiap dibuka mati kembali lagi padahal udah beli paket gak jelas,1
jelekkk,1
lagi enak nonton tiba-tiba ilang. masuk lagi ga bisa. ini kenapa ya rada2 ga bener apk nya skrg,1
ngebug nih gak bisa dibuka di poco,1
kenapa aplikasi keluar sendiri dan tidak dapat masuk lagi? saya juga sudah berlangganan,2
"baru bayar gabisa buat nonton ""Netflix telah berhenti""",1
sebelum byar bisa masuk setelah byr mau nonton malah mental trus apk nya,1
apk tiba tiba keluar sendiri,2
gak bisa dibuka eror hh tlong dong prbaiki servernya. netflix mogok krna alsnya sendiri . mksudnya aapaaa coooooo. udh dbyr mogok gak jls,1
kenapa aplikasi menutup sendiri terus??? bagaimana saya membetulkannya 😫😩,4
apk di update malam force close terus,1
"apalah Netflix ni bisa keluar sendiri, bisa pulak aplikasi nya bermasalah",1
Kenapa Aplikasi tidak bisa dibuka padahal baru berlangganan tgl 2 maret kmren..aplikasi selaku kluar sendiri dan tidak merespon :(,1
"Aplikasi gabisa dibuka. Udah re-install, tetep gabisa. Udah hapus cache, juga gabisa. Device aman. Tadinya bisa nonton, trus appnya close sendiri dan gabiaa dibuka lagi. Tolong diperbaiki!",1
aplikasi pengembangan belom bagus saat ini keluar sendiri dan mogok aplikasi ya tolong di perbaiki lagi,2
aman jaya,5
aplikasi keluar sendiri dari semua device hp tablet laptop tv tolong perbaiki masalah nya ini,1
kenapa force close terus ya min?,1
eror dibuka gabisa,1
ini kenapa ga bisa dibuka aplikasinya tolong dong,1
"kenapa tiba tiba tidak bisa dibuka,padahal tadi baik baik saja.",1
knpa netflix saya tidak bisa di buka,2
forced close,1
Langganan cuma mau nonton Comeback BTS,5
Sangat bagus,5
Akhirnya masalah login Netflix diselesaikan dg baik oleh Telkomsel,5
lumayan banyak film-filmnya,5
"maksudnya apa ini? ""Telkomsel telah menangguhkan sementara langganan Netflix mu"". padahal sudah bayar berlangganan lewat kartu by.u masa berlaku nya lama juga ini pun ada dua di tgl 06 Maret sama 30 Maret ini yg baru saya beli. kenapa harus bayar lagi ? ini buang2 uang ku saja. bisa2 nya akun ku di bekukan. ga ada solusi juga chat bahasa inggris. kirim link ga membantu. cek Riwayat pembayaran Netflix ga ada muncul yg ku bayar itu aneh. di by.u ada.",1
refuund pembayaran tiba tiba di potong,1
Tidak bisa masuk,4
bintang 5,5
"tbtb gabisa play film selalu terjadi kesalahan wkwk, pake aplikasi vidio gapernah gini walaupun bayaran nya sama wkwk",1
i890 9b gh,2
kenapa setiap pengen nonton netflix gak bisa masukin google selalu ada eror mohon tolong di perbaikin lagi netflix biar akun googlenya bisa masuk dengan normal,1
ribet banget ndaftar doang harus berlangganan langsung,1
aku bisa menonton film yang aku cari,5
cool,5
"Applikasi anda bagus, tapi masih ada bug : Ketika menonton series, Suara bahasa nya masih berganti ketika masuk episode berikutnya, Harus nya mengikuti pengaturan yang di lakukan user sebelumnya. Tolong di perbaiki!",4
"aku suka nonton di netflix , tapi kadang ga lengkap soalnyaa setiap ak mau cari pasti ga ketemu muluu kalau di netflix , jadi nya agak jaraangg gitu ak nonton di netflix TAPI AMAN KOO AK SUKA YYA KALAU NONTON DI NETFLIXX SUKAA KOO SUKAA",5
jelek kayak nya,5
Ini kejadian kedua kali ketika mau menonton melalui Hp selalu buffering/ tidak bisa sama sekali. Uda clear cache sampai uninstal berkali2 bisa sebentar lalu tidak bisa,2
apaan kejadi kesalahan mulu,1
kurang cocok,1
CRK CiNTA,5
tontonan favorit dan jarang ada gangguan,5
"PLSS, KALIAN KENAPA MAKSA SIH, AKU GA MAJ MAKE APK KALIAN, KENAPA GK BISA DIHAPUS COBA? MEMO HP JADI PENUH TAU GAK? KALIAN JGN EGOIS DONG, AKU JUGA VK PERNAH INSTAL NIH APK, ADA AJA TIBA TIBA KAYA SETAN, POKOKNYA GMW TAU, INI HARUS BISA DI UNINSTALL",1
"Belom kawin gue loch nicchh !!!@€£¥₩**^^^*""""&*^¿¿¿¿¡¡¡~¡¡®§§¿¡¡¡¡...",5
"kenapa saya ga bisa muter semua film yang ada di Netflix l, error kah?",3
ribet bngt,1
very good,5
BAGUSSS,3
"aplikasi burik, padalan saya sudah hapus ini aplikasi knapa malah nyedot saldo dana gua oi, admin babi",1
guwe kira lengkap ternyata tidak kalah sama lk21 ni netflix yg gk byr tpi lengkap,1
sangat memuaskan,5
ka knpa netflix saya g bisa di buka ya ka?? mnta tolong bisa g ka,4
kelasss,5
"gak bisa dibukak di tv, padahal sudah berlangganan",1
gw udh berhenti langganan kenapa masih kepotong tiap bulan,1
jelek terbayar sendiri apala,1
"aplikasi taiii sudah mahal bayarnya masih aja eror, saya sudah download videonya baru nonton setengah udah lama nungguinnya malah ngak tersedia di tempat downloadnya, aplikasi apa ini rusak percuma bayar ngak jelas",1
susah pendaftaran nya berkali kali masukkan email gak selesai selesai daftarnya,1
"dana saya otomatis terpotong , pembayaran nya juga tidak melalui verifikasi saya kecewa Ndak bisa refund",2
"Netflix kurang ajar tiba2 aja pakai spaylater ku buat memperpanjang keanggotaan,gua gak ngutang cuma buat nonton film",1
download dan mau berlangganan demi nonton BTS borahae 💜💜💜💜💜💜💜,5
"agar dibantu saat nonton tiba² keluar dengan pemberitahuan bahwa terlalu banyak yang menonton di akun anda, padahal hanya saya sendiri yang menonton",3
baru join member malah error mulu.ngeselin,1
"saya suka sama aplikasinya tapii setiap ada uang sedikit, uang saya langsung masuk ke Netflix inii!!!!! tolong Netflix lain kali kalo sudah jatuh tempo bayar tolong di buat kan pesan seperti anda sudah jatuh tempo bayar hari ini jangan langsung masuk ke Netflix ajaa duit saya langsung hilang",2
EH APLIKASI KNTOL GUA GAPAKE APA² SUSAH NONTON ALESAN PAKE PROXY/VPN LAH APALAH. TOLOL KNTOL RUGI ANJENGGGGG GBISA NONTON,1
"error 5.10 saat mau putar video kacau sudah sering di-update dan hapus cache tapi tetep eror, dan banyak yang koment tapi ga ada tanggapan ... tapi sekarang sudah lancar mantap ga error lagi layak ksh bintang 5",5
we can watch movies for free,5
suka bug keluar sendiri,1
"udah berlangganan, tapi masih aja ada iklannya. mana ngga cuma 1, berkali-kali. ganggu bgt pas nonton, bukannya fokus nonton ini malah fokus skip-skipin iklan.",2
Jaringan internet udah mantep kenapa ga bisa nyambung ke TV pdhl paket sudah diperbaharui ribet amat si netflix,1
gak guna,1
error,1
"Sampah, susah login tolol",1
sangat luar biasa,5
menjengkelkan saya beberapa kali memasuki email dan tidak pernah masuk aplikasi!,1
susah banget mau daftar! masa pas mau lihat kode buat masuk di email selalu aja pas balik lagi katanya kadaluarsa padahal gak nyampe semenit saya ke email terus ke netflix lagi! pas mau pake sandi disuruh ganti sandi pas diganti eh tetep gak bisa!,1
Admin tambahin film real steel dong,5
"masih mendapat tagihan pembayaran, padahal keanggotaan sudah di batalkan",1
taii gua loginn gk bisa bisa padahal udh bener semuaa tolong dongg masalah beginian diurusin aplikasi doang gede,1
tiba2 maen motong saldo dana aja,3
seru jadi gak perlu nonton video pendek nya dehh,5
suka nyedot dana sendiri otomatis,1
acara-acara Drama-film nya sangat banyak pilihan nya dan komplit,5
Streaming video dengan kualitas terbaik yg pernah saya coba.,5
muantap,5
sistem ribet,1
dikarenakan cuma bisa nonton 18 tahun ke bawah saja,3
NETFLIX TOLONG YA PERBANYAK SUBTITLES BAHASA INDONESIA/MELAYU !!! PENGEN NONTON MENTALIST AJA GAK ADA SUBTITLES BAHASA,2
"mau masuk akun aja susah bgt malah diputer puterin ke web terus, aplikasi bobrokkkkkm",1
Udah terdaftar login akun saya ke email tapi kok nggak bisa masuk2,2
mau masuk aja ribet pakai email😪,1
suka banget sama movie cosmic princess Kaguya bulan lalu endingnya nyesek pluss seru,5
High-quality streaming and great movie selections. Totally worth it!,5
punya fitur sharing tapi pas dipake nonton bareng gabisa aneh,1
elek layanan lu,1
login nya udah ribet lama muter muter,1
apk sampah ribet daftar juga,1
udah berhenti langganan masih sering ke potong,1
saldo terpotong tgl 23 februari dan terpotong lagi tgl 27 februari 😭,1
nyedot kuota banyak bgt kesedotnya gila,1
"aplikasi sampah mending gk usah install, ribet nya gk ngotak",1
sangat bagus isi film nya dan response dari admin nya cukup cepat ketika ada suatu masalah dan di berikan bimbingan. pokok nya top apk film ini👍,5
kenapa akunku 120k/bulan,2
terlalu memaksa orang untuk berlangganan,1
cannot login. need fix this asap,1
"daptar nya ribet harus pake e-mail, gak cukup satu kali",1
lemot bgtttttt,1
RIBET BANGET ANJIR MAU DAFTAR KAGAK BISA-BISA,1
masa film nya yg aku cari mesti ga ada sih min...ya Allah..,1
udah bagus cuman kenapa Spongebob Squarepants s14 sama s9 kenapa GK ada tolong di Adain admin,4
bagus aplikasinya,5
diperbaharui malah makin gila,1
"Bugs,freeze di android tv mohon diperbaiki segera!",1
mau daftar aja susah gak bngt 🖐🏻😓,1
aplikasi suka gangguan dan susah buat login akun😡,3
burikk gabisa daftar smua akun gabisa apk erorr harus update lgii HARUSS INII MAAA bikin beteee huhh ak burik😒,1
burukkkkkk,1
jangan lo instal atau rugi seumur hidup,1
Tolong perbaiki kualitas video Di smartphone kualitas nya buram dan pecah padahal itu kualitas 1080p,3
masih uji coba,2
banyak drakor nya btw yang kesini gara gara mau buat reting jelek ayo klik ya,1
Wah keren banget saya bisa nonton di aplikasi ini.,5
"banyakin dracin nya dong, soalnya ga suka drakor",1
susah bgt si login nya! email ini lah link ini lah gabisa²! apalah,1
jelek bgt masa ada masalah kasih bintang 1 dlu,1
berlangganan netflix per bulan sekarang cuma dijatahin 25 hari. mengecewakan!!!,1
Sistem pembayarannya cuma bisa pakai kartu ya? Kenapa ga simple aja sih ke alfa/indo gt😁😁😁,5
TOLONG HAPUS SEMUANYA FILM YANG BERASAL DARI KOREA KARENA JELEK NONTON PLASTIK,1
bayar nya ke mahalan+GX lengkap video nya+ngeleg - ngeleg + grafik jelek + kebanyakan iklan+video nya GX jelas semua+GX baik buat anak²,1
"gak bisa login, padahal email udah bener",1
belum mulai.. udah susah.. apk njir,1
boikot,1
jangan semua flim katrun anak perempuan nanti menbazir kasihan pada anak perempuan jangan terlalu banyak,5
banyak errornya,1
Netflix apa-apa an ini berlangganan kagak tiba-tiba motong saldo Seenaknya,1
"pdahal sdah dibatalkan langganannya masih aj kepotong saldonya, ihhhh kesel bgt",1
sangat 👌,5
kenapa netflix di tab susah banget padahal bayar trus pake wifi,3
mau login terjadi kesalahan tunggu beberapa menit mulu .... padahal gapernah loginnnnnnn hadeh payah,1
rugi gw nonton di sini,1
saya tidak ingin. bayar saya ingin gratis,1
diskon,5
baru mau daftar aja harus langsung berlangganan. tidak worth it.,1
hallo netflix. akhir-akhir ini applikasi sering menggulang film dari awal meskipun sudah ditonton.prongres tidak tersimpan degan baik. mohon segera diperbaiki karena sanggat menggaggu penggalaman menonton. trima kasih 🫶🫶,5
bagus tapi as pelajar ini MAHAL BANGETT,3
gak seru orang korea oplasan semua 😂,1
ribet banget dadak masukan email dah gitu nggak bisa masuk,1
sukaa erorr kaga jelass,1
muter terus,1
suka tersedot dana kuuuuu,1
seruu,5
ribet gak bisa masuk👎,1
"gimana sih cara tf nya, pilihan cuman visa doang kah, engga bisa kah lewt e wallet, dulu bisa sekarang engga ada opsi nya, tolong bantu min",2
sudah berhenti berlangganan tapi kalo ada saldo di dompet tetep di potong aneh banget aplikasi ga jelas,1
banyak banget keluhan,1
"koleksi film dikit, judul serial nya udah jadul. kebanyakan dari drama korea",2
anak saya tidak sengaja membeli langanan Netflix tanpa saya tau dan otomatis di potong Rp.54.000 tapi di google play tidak ada langanan nya,1
"setelah dua minggu berlangganan Netflix, aplikasi Netflix tidak bisa digunakan dan muncul notifikasi tidak dapat menyambungkan ke Netflix.",1
Mantaaaaapp,5
"netflix its very good for who have some fun with movie, theres so much genre u can watch",5
adalah pokoknya,1
"kecewa karena banyak film yg ngga ada di Netflix, kirain aplikasi berbayar semuanya lengkap ternyata not worth the price.",1
"Ini netflix ga ada rencana adain subtitle Indonesia di film"" India? Ga seru bgt klo ga ada b indo nya😞😞 ada beberapa film India yg ga ada subtitle Indonesia nyaaa min",4
buruukkk,1
gabisa dibuka lol,1
Netflix aku kasi 3 bintang aja dah soalnya kalau aku mau daftar itu 'i' nya bukan 'i' kecil tapi huruf i besar baru tuh kenapa cepat keluar akunnya baru kalau kita mau daftar lagi udah ngga bisa kenapa sih? tapi seru kok👍🏻,3
"mau login ngga bisa,, hapusaj ini aplikasi. ngg jelas buang2 kuota buat download nya",1
Apaan ini kagak bisa dibuka.. Udah TUTUP kah?,1
ini kalau mau ngehubungin CSnya gimana ya? mau ganti metode bayar kok gk bisa ya? di IG gk bisa kirim dm.,3
"ribet bngttt Apl nya, akuu download untuk berlangganan aja susah bngt, klu gak terpaksa download untuk nonton live nya BTS mana mau akuu download ni apl, ribet bngtt",2
pengen aja b1,1
Aplikasi yg sangat bagus bagi pecinta film drakor drachin ..walau ada beberapa yg tidak lengkap series yg aku ingin tonton tapi Netflix the best,5
burik,1
ribet,1
"mau login pake password ga ad pilihan malah dilempar ke gmail dan disuruh nunggu link, aneh padahal sebelumnya ada",2
Sampah susah Log in Bayar dulu baru bisa cari film Setelah bayar film yg dicari gk ada,1
kenapa tidak bisa diputar vidio nya padahal sudah premium terus setiap bulan,1
banyak masalah,1
"bagus film, anime, animasi udah banyak resolusi bagus lancar, tapi minusnya gaada 2× speed yang dimana apk lain udah ada 3× speed mohon ditambah 2× speed🙏🙏",4
😮‍💨,1
aplikasinya sangat sesuai👍👍👍,5
update one piece biar lengkap episode nya..,5
aplikasi kikir semua serba bayar,1
mau nonton film yang di suka ga ada di list gimana ini nyesel langganan,1
film nya membosankan,1
"gampang ngeleg gak jelas,udh d uninstall udh d hapus dulu apk nya ttp aja ngeleg",1
Terimakasih,5
"aplikasi jembot ,daftar aja di persulit buka harus lewat email apk ga jelas",1
"Netflix is perfect for watching movies and series in my free time. The content selection is diverse, and streaming quality is excellent. I also like the personalized recommendations and offline download feature. It is a bit pricey, but the entertainment value makes it worthwhile.",5
"apk sampah. login doang di buat ribet. harusnya masukan email udah itu aja, malah di ulur ulur suruh ini itu.",1
"email saya tidak bisa digunakan untuk login, setiap kali logi selalu muncul email tidak valid, untuk admin Netflix ini tolong banget,udah tiga tahun saya gan bisa login Netflix",1
"jelek bgt bejir, plastic",1
ga jelas apknya,1
lemot ga bisa masuk,1
aplikasi nya jelek jadi kasih bintang satu aja,1
apaan dah makin kesini makin susah buat login tolong diperbaiki sistemnya,3
bnyk film2 udh lama ga seruu.. byar mahal2 film2 lama yg dimunculin...,1
jelek filmya hanya tentang rasis,1
bufering,2
gada film tentang sawitnya,1
Keren pastinya,5
Ngk jelas udah masuk malah suruh masukin email pas udah masuk email lengkap malah ngk bisa. Parah,1
"Saya sangat puas berlangganan di netflix, pelayanannya juga sangat memuaskan, misalnya ketika saya meminta pengembalian dana karena saldo dana saya yang tidak sengaja terpotong oleh pembayaran langganan bulanan otomatis netflix, saya kemudian menghubungi agen netflix dan meminta pengembalian dana, setelahnya kurang dari 1 jam dan saldo dana saya sudah kembali. 😆👍",5
"kendala : scroll kekiri berkali2, saat scroll kebawah malah ketemu judul film yang sama mulu, jadi itu sangat ribet banget, tolong diperbaiki biar lebih mudah dalam searching",1
suka nge bug,1
😄,1
"ribet sumpah, mw sambil makan udh habis dulu bru bisa masuk aneh, lebih baik hapus aja",1
udah bayar langganan malah gak bisa dibuka padahal sinyal bagus gak banget,1
tidak bagus ad film korea,1
bagus 👍 cuman masalahnya TV box android saya tidak work meskipun dari website ataupun play store,5
cara putuskan dr dana gmn? di potong trussss saldo aku,1
"mantap nihh aplikasi semoga lengkap sihhh, ada drama terbaru teruss",5
ada GTASanadreas diaplikasi ini makanya aku kasi bintang 🌟 lima,5
tidak. ada. logo. neflix. di. hp,1
ribetttt banget mau pasang di 2 tv paket yg 120rb loh padahal,1
"너무 비싸고, 쓸모없는 앱입니다.",1
apk gajelas gua udah bayar nonton kga bisa stuck di awal blum masuk film udah gua uninstal trus download lagi tetep aja gabisa tolong lah pihak netflix bnerin gmna ini sya kasih bintang 1 dlu krna emng problem apk nya,1
"apk g bisa d buka kembali,selalu mental .",1
Jelek banget filmnya itu itu saja,1
harus bayar:),1
no good payment options,1
"boikot Netflix,Korea😒",1
return the cast feature from a cellphone to a TV,1
saya sangat suka flim flim 18+ disini,5
Good app.,5
film kurang lengkap,3
ok punya,5
apk gajelas,1
"baru masuk saja langsung ada bug, hadeh",1
tidak bisa menonton karena harus bayar,1
"app kebanyakan Drakor, bosen. dracin dong",1
"mau nonton anime malah stuck loading(SEMUA ANIME) tapi pas nonton film enggak, semua tutorial udah dicobain biar bisa nonton tapi semua gak work, padahal sinyal lancar, emang aplikasi nya aja gajelas",1
"aplikasi jelek dari negara plastik, wajib di boycot nih bau aplikasi nya Kaya sampah kebakar",1
sangat buruk. tidak Luna Maya dan Ariel Noah. sangat tidak di rekomendasikan,1
"ribet, hrs bayar",1
bisa di download tapi ngga bisa masuk,1
fake,1
drakor nya di apus aja dari apk mengangu,1
buruk.,1
apl nya jelek,1
"males sm knetz ah bawa agama, g rispek lg sm netflix",1
"ribet , pembayaran ribet",1
apk gak jelas .. ada orang korsel nya,1
"apk tololl baru langganan sminggu trus ada.notif update pas diklik playsstore ga ada piliham update,, bijimana buka apknya ini?",1
lebih baik nonton angling darmo buatan dalam negeri,1
Kualitas gambarnya udah dan yg lain² udah oke. Hanya sj yg ingin perlu sy memberikan masukan adalah film² action tdk ada yg terbaru. stok² lama aja yg msh trsimpn smpai skrg. bgtu jg dgn film perang dan horror luar negeri. ta ksh bintang 4 update film smkin bgusss,4
kenapa tiba tiba burem sih wifi padahal bagus aja,1
pendaftaran yang rumit serta film yang jadul,1
kebanyakan drakor nyah,1
"login susah, gabisa mulu",1
"daftar aja pake link email,,sdh tu nda bisa buka apk macam apa begini",2
Netflix itu berbayar. tolong jangan pake iklan.,3
banyak plastik,1
jelek boikot netflix,1
mau login aja ga bisa lol,1
"bagus sih tapi harga langganan turunin lah jangan 54, turunin lah ke 47 RB contohnya",3
sangat jelek from Indonesian,1
"film yg sudah lama semua, padahal bayar bulanan... auto stop langganan",1
gak suka aja,1
gak ada cilor,1
kebanyakan film,1
gk jelas,1
mantap klo bisa di kasi film2 terbaru ya,5
sekarang daftar masuknya ribet,1
aplikasi busuk,1
aplikasi ribet banget dah.,1
i don't like Korean drama in this app,1
"apk super ribet, kikir, drakor nya kurang seblak",1
"gak tau, bad mood aja pengen bintang 1",1
HAPUS DRAKOR GANTI DRACIN ATAU UNINSTALL BERJAMAAH ? SILAHKAN ADMIN PILIH. #ASEANSibling,3
gak paham ini 🤗,1
"najis,kenapa yah apk legal dan berbayar itu anime nya tidak lengkap malah apk iilegal lebih lengkap.",1
"Sudah berbayar, tapi film tidak lengkap, MENYESAL",1
ngantuk,1
kocak,1
gak bisa masuk daftarnya mau masukin gmail atau nomor pun sama aja gak bisa tlg di perbaiki,1
Sangat Tidak Rekomendasi lemot padahal Wifi bagus,1
susah buat login,1
"Masih Nayangin drama korea, udah dihina hina masih dukung orang korea, cihhh",1
ga ada sinetron azab ga seruuu tololll,1
jelek banyak video org rasis,1
good good,5
nyawit nih apk,1
"apk sampah, ribet, mana iklan ya banyak banget.",1
"buruk, ga ada sawit",1
dih GK guna bngt ni aplikasi,1
waktu magrib 2 ga adad korea,1
kenapa susah sekali untuk login padahal jaringan kenceng🥲,1
daftar pun harus bayar,1
no drakor,1
aplikasii eek,1
agak ribet daftarnya,1
banyak drakor nya,1
"ini netflix kenapa dah, sinyal normal mah muter video gak bisa tolong segera di perbaiki sudah langganan bulanan kualitas nonton malam gak bisa",3
apk rasis,1
not rekomen,1
banyak banget iklannya ga word it,1
cobain nonton true beauty gehh seru tauu,5
"appnya bagus, film apa aja ada disini, untuk pembayaran segitu /bulan menurut gw worth it parah, nonton juga gaada batasan, pelayanan juga bagus, fitur""nya juga",5
ihh,1
"sebel banget, padahal udah dibayar dan status pembayaran sudah berhasil di shopeepay, saldo shopeepay juga udang terpotong. Tapi akun masih ditangguhkan ajaa😡😡",1
aplikasi tidak baik,1
jelek berbayar lagi,1
"ish.. sering error, kadang ngeblur.",1
"ada film koreanya, gak suka, sukanya dracin, ganti dracin atau kami uninstall!",1
"ada korea nya, males banget guah. ngambek ah",1
susah daftarnya anjir,1
tidak bisa menghargai negara orang,1
"kebanyakan drama Korea sekarang dari film sampe acara tv, dan film barat atau eropa tipis banget, ngak ada update updet, masa setiap hari nonton yang tegang tegang terus bahas Korea , kesombongan , kayak Narko, atau ngak dahlah terlalu glamor sakit kepala",3
jelek aplikasinya ga bisa nonton mbah ghufron,1
Bikin boros,1
"apk gajelas, loginnya aja di persulit",1
NAJONG RIBET BANGET LOGINNYAAAAA....,1
jelak,1
sangat bagus,5
ewww,1
udh g beranggota tapi masih aj harus bayar juga konten ny pada boring,1
"jelek bgt, kemahalan",1
ga bagus aja pokoknya....,1
"aplikasi jelek,, rugi bayar mahal gak berkualitas",1
bangus bangte,5
sangan jelek,1
"banyak plastik, jelek apk nya",1
"aplikasi gak jelas, udah mahal2, gabisa diputer dilaptop",1
yah ada drakor bete gw,1
Aplikasi taik bikin akun saja ribetnya. aplikasingak guna,1
jujur ganjal✌🏻💜,1
aplikasi nya tidak ada Drakor bahlil nya,1
suck,1
apk jelek,1
"kebanyakan drama, plastik gak di ajak",1
nge lag,1
lemot mau buat akun muter muter terus gembel!,1
"kalah saing, yg lain aja masih kasih gratis",1
pengen aja bintang 1 heheheh✌🏽,1
login nya susah bet pler,1
aplikasi jelwk kadang genrenya ga sesuai ama yg di tulisin 😌,1
tdk suka,1
"This app is very bad, so I don't like",1
"cilor mau, cilor!!!",1
gatau ga mood aja aku ngasi kau bintang 5,1
baru mau login aja susah banget malah muter² harus bolak-balik Gmail karena link yang di kirim ke Gmail ujung-ujungnya cuma masuk ke chrome & disuruh buat langganan,1
"Aplikasi jelek , masuk gratis aja sulit , film film nya juga jelek jelek",1
"error mulu, gak bisa puter film, apk lawak",1
sangat burukkk,1
mending bajakan lah beli percuma filmnya kurang seru,1
Hapus film unsur ada Korea nya,1
gak jelas sumpah udh berlangganan juga tpi gak masukk,1
apk ribet,1
wah apk sangat keren tapi sayang banyak sampah plasticnya,1
cuma gabut,1
"Ribet ,ga bisa masuk terus!",1
tidak menarik,1
aplikasi lemot,1
susah banget mau log in buruk.,1
g seru,1
bosan film Korea mulu,1
apk sampah,1
jelek bnyak iklan,1
langganan main naik harganya,1
buruk tidak bisa di play netflixnya,1
apk bodoh,1
banyak film drakornya,1
kenapa Netflix ku loading terus ya GK bisa di putar filmnya,2
aplikasi busuk. di buat nonton film sering eror. di coba login ga bisa masuk. aplikasi sampahh,1
salah satu layanan streaming yg terbaik,5
"apk kocak,, mau daftar udah ketik email, klik lanjutkan tetep stak di situ..",1
"ni apk waras? mau login/daftar aja ribet banget, emang bner deh gausah main ni apk ""RIBET"" pantes cuma dpet rating 3.6 mampus tu",2
"bagus tapi beberapa tontonan telat datang,hmm ok dah sih itu aja yang kurang,bagus Bagus aku suka makasih ya🌹",5
"kapitalis bayar 79rb untuk sebulan tapi nonton kualitas 360, mau nonton apa?, udah kayak sensor bokep kualitasnya",1
apk nya jelek di bayar malah gk bisa di tonton,1
pihak Netflix gimana siii.....ini mau login aj ngga bisa tolong dibenerin dongg😡,1
filmnya bagus bagus dan mudah,5
BURUK,1
drama korea selata yang sangat buruk,1
tidak layak,1
tayangin harry potter lg plis pengen nonton,4
nyebelin udah bayar mahal ga bisa masuk,1
aplikasi tolol ribet amat daftar doang semoga di hapus di playstore,1
GK seru,1
"login aja dibikin ribet anjirrr, coba lagi masalah jaringan Mulu padahal buka yg lain lancar aja",1
udah bayar netflix bulanan tapi gak bisa masuk percuma sayang banget,1
payah,1
"buruk harus berlangganan,kalau gratis bintang 5",1
kok ga bisa update!!?,1
aplikasi ini nya ngak bagus sering log out seenak nya sendiri.,1
banyak plastiknya,1
"aku nge donload netfix karna acara singles inferno reunion tayang hanya di netflix tgl 14 - 02-26 kemaren,.. tpi stelah di donload dan beli paket nyah malah gak ada acara nya.. sedangkan di yutub sudah banyak ptongan potongan acaranya yg sudah tayang..",3
menonton hanya itu itu aja,1
Not recommended for download because it was disappointing,1
ribet bngt heran ma fitur ny,1
Kok makin di-update makin aneh ya,1
Aplikasi apaan....gak banget lh...,1
ga dulu.. kualitas burukkk!!!!!!,1
"aplikasi gak jelas, daftar aja ribet banget, harus kesini kesana lah, apalah💔",1
please perbanyak drakor yg terbaru,5
"sdh 2x langganan lancar,cmn untuk ke dua kalinya terasa mulai membosankan filmya,kebanyakan film lama,film ga jelas asalnya,animasi jg kurang komplit,indo horror jelek,jarang masuk film baru,perbaiki dong biar ga membosankan film nya",4
makin kesini makin banyak masalahnya. sll muncul notifikasi bukan bagian dr rumah akun jelas2 sy buka dr akun dan rumah perangkat pribadi dan di 1 rumah tinggal,1
GADA FILM MIO SHIROHIME,1
"Kenapa aplikasi saya nggak bisa dibuka padahal koneksi internet aman buka aplikasi lain aman"" aja tpi waktu buka netflix ini nggak bisa katanya jaringan internet nggak terdeteksi gimana sih ini, website juga nggak bisa diakses padahal udah sering langganan",1
gak banget deh,1
sangat membantu trimakasi admin🙏🙏,5
GK ah ad drakornya,1
jelekkkk banget,1
"Suka banget sama aplikasinya, film"" nya menarik sekali, layanan customer nya juga ramah+baik banget, terimakasih untuk kakanya yang sudah bantu saya perihal keanggotaan, sukses selalu untuk netflix 🥹🫰🏻❤️🤩",5
aplikasi apaan sih. baru daftar aja suruh bayar. pdhal blm tentu ada film yg menarik buat di tonton,1
aplikasi jelek parah.,1
"pokoknya bintang satu mau masuk aja dibikin ribet, mending di kasih arahan ini mh dibuat pusing",1
Ga suka soalnya berbau K-netz,1
"jelek gak suka, banyak anggota plastik nya",1
Kurang menarik film nya,1
udah mahal filmnya dari Korea lagi anjay wkwkwkwkw,1
tumbang,1
"It’s frustrating that after I canceled my subscription, my balance was still deducted on December 5, 2025. I was promised a refund within one week, no later than January 22, 2026, but I still haven’t received it. I contacted you again today, but the chat was disconnected and I was only told to keep waiting. If a refund is not possible, please say so clearly. My membership was canceled, I received no benefits, and I’m the one at a loss.",1
males bngt nonton di sini,1
"harus bayar ah elah , besok gw bayar dah",1
jadi ga berfaedah gara2 males ma knetz,1
"aplikasi ga mutu, udah berlangganan tapi masih gabisa nonton sepuasnya",1
untuk garis hitam samping huruf subtitlenya mohon dipertebal soalnya pas video nya ada adegan yang latarnya ada warna cerah ga keliatan subtitle nya,4
gbisa di tonton harus berlangganan baru bisa aku kasih bintang satu,1
login sulit,1
"jelek banget netflix nya , sejelek muka-muka korengan yang suka oplas",1
susah banget mau masuk,1
tidak bagus,1
banyak pilihan,5
gw dikit-dikit force close padahal udah beli private member... gimana ini?,1
"sudah tidak bagus untuk di tonton membosankan,jadi males lah..",1
Dah ah maless liat komen katanya ribet jadi yauda,1
poor,1
"waktu pendaftaran masuk aplikasi nya error, dan juga ribet. MENURUT KU!! 😮‍💨🙂",1
Gek jelas aku udah beli 64.000 tapi jadi sia sia. di Netflix film nya gak lengkap percuma aku beli mending nonton di LK21 udahlah film nya lengkap gratis lagi,1
jelek karna kena sampah plastik,1
